Date,BHP.AX,CBA.AX,CSL.AX,NAB.AX,NST.AX,PME.AX,STO.AX,TNE.AX,WDS.AX,XRO.AX
3/02/2021,27.44415855,72.71842957,261.8699951,19.75257683,11.03405952,42.18284225,5.519760609,8.209127426,17.93004608,130.3099976
4/02/2021,27.30734062,72.27841187,257.2915344,19.74458313,10.69889355,42.93013763,5.479175091,8.104002953,17.85202789,127.8399963
5/02/2021,27.23892975,73.59014893,258.1978455,20.16824913,10.46957016,43.02845764,5.609050751,8.123116493,18.04352951,129.3800049
8/02/2021,27.88570213,73.57356262,258.90802,20.352108,10.56659222,43.25462723,5.714576721,8.132673264,18.1499157,130.8600006
9/02/2021,27.73644829,72.57730103,255.6189423,20.00837708,10.49602985,43.0973053,5.698341846,8.056221962,18.01515961,130.1000061
10/02/2021,28.02252197,71.49802399,257.9829712,19.96841049,10.66361523,44.4148941,5.665872097,8.161343575,17.93004608,133.8300018
11/02/2021,28.2837162,72.27011871,258.5435791,20.02436447,10.84883881,44.37556076,5.61716795,8.113559723,17.88749123,130.8999939
12/02/2021,27.81108093,72.12068176,258.5997009,19.92843819,10.63715267,44.35589981,5.527878284,8.113559723,17.71726799,130.2599945
15/02/2021,28.45162773,71.88821411,261.8139343,20.21621513,10.47838879,46.23396683,5.600934029,8.084890366,17.90167618,130.7100067
16/02/2021,29.22899246,72.58099365,267.0838623,20.43204498,10.24906445,44.88687134,5.698341846,8.09444809,18.32014084,128.7100067
17/02/2021,30.22402573,71.20388031,262.7203064,20.46402359,9.472886086,43.94292068,5.714576721,8.027550697,18.41234016,127.8600006
18/02/2021,30.16805649,70.64628601,270.036499,20.4080658,9.349404335,45.20152664,5.730810165,7.951097965,17.97260094,127.2900009
19/02/2021,29.42799568,69.70851135,256.4225464,20.07232857,9.155360222,46.21429825,5.53599596,8.00843811,17.02219772,124.6999969
22/02/2021,30.41058731,69.19315338,250.2182312,19.64066315,9.41114521,45.89965439,5.479175091,7.845975876,16.8023243,123.4400024
23/02/2021,31.36208916,70.36748505,250.3770905,19.86449051,9.569909096,44.49356079,5.858688831,7.960654736,17.76691818,120.1699982
24/02/2021,30.38571548,69.93662262,250.3770905,19.904459,9.225922585,43.75609589,5.834106922,7.998880386,17.56832695,116.3300018
25/02/2021,31.37452507,70.71386719,252.5168457,20.10430336,8.864294052,44.52305603,6.006180286,8.132673264,18.14850998,119.75
26/02/2021,30.55362511,68.90589905,245.3594513,19.69661903,9.005417824,43.6085968,5.924240112,8.084890366,17.53475571,118.4300003
1/03/2021,31.15064621,71.06025696,252.5448456,20.09630966,8.776093483,45.72266006,6.071731567,8.228240013,17.95582008,122.5299988
2/03/2021,30.55362511,71.38131714,252.0402832,20.19223595,8.396822929,46.02747726,5.965209961,8.428928375,17.64180565,122.2399979
3/03/2021,31.63572311,72.1501236,249.4801025,20.54396057,8.749630928,45.35885239,6.055344105,8.467154503,17.70603752,119
4/03/2021,31.57344055,72.97808075,240.2569885,21.03157616,8.449745178,43.74381256,6.071731567,8.314249039,17.62039757,115.9000015
5/03/2021,30.88816643,73.03720856,233.4483032,21.09552765,8.432106018,43.20218277,6.358521938,8.218683243,18.16991615,113.1699982
8/03/2021,31.62467003,73.77223206,231.0253448,21.12750244,8.454376221,44.57102203,6.18644762,8.237794876,18.31265068,112.5999985
9/03/2021,31.37490654,74.25379181,234.9321136,21.30336571,8.347470284,42.04999924,6.071731567,8.505381584,18.29837608,108.3199997
10/03/2021,30.48470306,73.26531982,236.8573303,20.97562218,8.516737938,42.64086151,5.842300415,8.534051895,17.81308365,111.0299988
11/03/2021,29.97235298,73.03720856,238.4444427,20.87969589,8.694911003,42.4931488,5.875076294,8.44804287,17.66321564,109.6900024
12/03/2021,30.7216568,73.07102203,237.8434296,20.8637104,8.329654694,43.46807098,5.916046143,8.572277069,17.90586281,115.0100021
15/03/2021,30.66402054,72.99497223,240.2757721,20.8956852,8.329654694,41.60684586,6.022567749,8.639172554,18.0842762,113.0999985
16/03/2021,29.99796867,73.65395355,245.8729553,20.98361397,8.329654694,43.16279984,5.973404408,8.964097977,17.97723007,117.6699982
17/03/2021,29.50483513,73.59481049,245.1123047,20.97562218,8.080208778,42.93629074,5.924240112,8.964097977,17.82022095,119.6299973
18/03/2021,29.26147079,72.44581604,240.5011444,20.79176521,8.338562012,42.81812668,6.006180286,8.935429573,17.78453827,117.7399979
19/03/2021,28.75552559,71.56717682,238.4914398,20.72781563,8.686003685,42.81812668,5.858688831,9.002324104,17.2064724,119.9400024
22/03/2021,28.49934769,71.87976837,244.32341,20.87969589,8.810724258,43.02492142,5.997986317,9.145674706,17.64180565,119.6399994
23/03/2021,28.78754616,71.61785889,245.1123047,20.73580933,8.846360207,42.02044678,5.875076294,9.030995369,17.46338844,121.1100006
24/03/2021,28.74271774,72.96963501,249.8266754,20.65587044,9.131440163,43.02492142,5.784942627,9.059663773,17.27069855,123.4700012
25/03/2021,28.74271774,73.1132431,253.4047089,20.75979042,9.104712486,43.28096771,5.801331043,9.069221497,17.32779121,122.1699982
26/03/2021,28.86440086,72.6570282,251.1790161,20.91966629,9.077985764,43.99985123,5.866882801,9.136117935,17.51334763,127.1999969
29/03/2021,29.37034035,72.29375458,249.2350464,20.88768959,9.042351723,42.83782196,5.90785265,9.021438599,17.43484306,122.9199982
30/03/2021,28.76193047,72.1501236,246.6712189,20.71182823,8.686003685,40.99628448,5.842300415,8.868533134,17.1850605,125.6200027
31/03/2021,29.01169968,72.74151611,248.5400696,20.78377342,8.445466042,40.70085144,5.817718983,8.925871849,17.12796783,126.5299988
1/04/2021,29.2358532,72.83444977,246.990509,20.8637104,8.730546951,42.63101959,5.834106922,9.069221497,17.12796783,130.8699951
6/04/2021,29.3639431,72.68238068,247.5540161,20.96762848,9.104712486,42.85750961,5.735778332,9.203014374,17.2136097,135
7/04/2021,29.38315201,73.10479736,246.9811401,21.05555916,9.487787247,43.47792435,5.866882801,9.21257019,17.40629768,135.7700043
8/04/2021,30.1388607,73.60326385,249.7515564,21.2873745,9.603600502,44.77783585,5.850494385,9.136117935,17.45625305,136.8300018
9/04/2021,29.88909531,73.61170959,247.3661499,21.35932159,9.710505486,44.26574326,5.793137074,9.19345665,17.35634041,138.8999939
12/04/2021,29.57527733,73.26531982,249.3383484,21.44725227,9.434335709,44.37407303,5.842300415,9.183901787,17.3634758,141.2599945
13/04/2021,29.26147079,73.66240692,248.5494843,21.41527748,9.603600502,43.74381256,5.809524536,9.21257019,17.31351852,143.2200012
14/04/2021,29.46640968,74.17775726,251.4983063,21.35932159,10.04012871,46.05804062,5.752167225,9.269910812,17.24215126,146.0800018
15/04/2021,30.31178284,74.27069092,251.9584961,21.45524788,9.701597214,45.77245712,5.883270741,9.231682777,17.3777504,145.6399994
16/04/2021,30.46548843,74.33827972,252.6910553,21.35932159,9.977767944,46.06789017,5.858688831,9.19345665,17.1779232,147.1399994
19/04/2021,30.45907784,75.05640411,251.9678802,21.32735062,10.2093935,45.92017365,5.784942627,9.279465675,16.85677528,145.7799988
20/04/2021,30.38864136,74.1270752,247.8826599,21.18346214,10.12921429,45.98910141,5.752167225,9.289023399,16.65695,143.7299957
21/04/2021,30.23493004,74.49034882,251.6392365,20.95163918,9.755049706,45.68381882,5.68661499,9.260352135,16.41430092,141.6799927
22/04/2021,30.51671982,75.30986023,256.1939392,21.09552765,10.2628479,47.04281235,5.670227528,9.336807251,16.31438828,143.1499939
23/04/2021,30.45907784,75.52107239,256.7010803,21.15148163,10.13812447,46.91479111,5.719390869,9.413259506,16.27156639,143.4900055
26/04/2021,30.63840294,75.23382568,255.2079163,21.31136131,9.861953735,45.97925949,5.645645142,9.289023399,16.21447754,142.75
27/04/2021,30.98423958,75.47037506,252.0336151,21.27139282,9.995584488,45.61489105,5.68661499,9.336807251,16.30725288,139.5500031
28/04/2021,30.88176727,76.2138443,254.5129547,21.51120567,9.478878975,45.90047836,5.752167225,9.394145966,16.49280548,138.8000031
29/04/2021,31.16356087,76.03643036,256.8419495,21.39929199,9.701597214,46.501194,5.776749134,9.136117935,16.59271812,141.8099976
30/04/2021,30.5487442,75.22537231,254.6537781,21.31136131,9.36306572,46.49134064,5.719390869,9.059663773,16.31438828,141.5599976
3/05/2021,30.11965179,75.78296661,254.456604,21.76700401,9.336338997,45.94971085,5.58828783,9.05010891,16.07174301,139.9499969
4/05/2021,30.88816643,76.41660309,254.7007751,21.78299141,9.728322983,46.05804062,5.719390869,8.964097977,16.31438828,137.5099945
5/05/2021,31.22760201,78.33441925,260.7581787,21.87891769,9.621419907,45.17174149,5.735778332,8.925871849,16.39289284,137.3999939
6/05/2021,31.89365578,78.52028656,260.0350037,21.23141861,9.514513969,45.2505188,5.768554688,8.725183487,16.52135277,137.3000031
7/05/2021,32.07938385,79.34822845,257.7998352,21.4072876,9.692688942,41.73487091,5.776749134,8.61050415,16.59985542,133.75
10/05/2021,33.07845688,80.38739777,258.598114,21.65509033,10.10248947,40.93719482,5.891465187,8.686957359,16.71404457,136
11/05/2021,32.84149933,79.90583801,257.6401978,21.43126678,9.755049706,40.73039246,5.719390869,8.495826721,16.23588562,131.9100037
12/05/2021,32.66217804,80.74223328,257.5557251,21.21543503,9.630326271,39.94258118,5.58828783,8.505381584,15.97896671,134.8800049
13/05/2021,32.24589157,81.08862305,260.6172791,21.23179245,9.434335709,40.5235939,5.596481323,8.534051895,15.94328499,117.3899994
14/05/2021,31.74635315,81.59554291,260.7769165,21.44443703,9.380882263,40.64176559,5.743973732,8.400257111,16.11456108,112.5
17/05/2021,31.76557159,82.61780548,259.7344666,21.30540085,9.995584488,41.29171371,5.801331043,8.34291935,16.07174301,118.75
18/05/2021,32.35476685,82.59246063,260.3355103,21.56711388,10.20048618,41.67577744,5.891465187,8.333361626,16.40716553,118.1200027
19/05/2021,31.24682045,80.53101349,257.7435303,21.28086472,9.844136238,41.52806091,5.760361671,8.123116493,15.98610115,117.3199997
20/05/2021,30.92019463,83.13315582,261.2277222,21.62436867,9.986676216,42.00075912,5.68661499,8.256910324,15.95755863,122.1200027
21/05/2021,30.58076096,82.83746338,266.993927,21.6489048,10.01340103,43.0446167,5.416214466,8.419371605,15.42230606,127.1999969
24/05/2021,30.01717949,83.43730927,271.6614075,21.79611778,10.12030792,43.28096771,5.522735596,8.591388702,15.61499691,127.4700012
25/05/2021,30.40784836,84.1723175,274.1876221,21.98422813,10.0757637,44.11802292,5.530930519,8.772966385,15.71490765,126.5299988
26/05/2021,29.68415642,84.13008881,271.2763367,21.93515396,10.33411789,44.19681549,5.481765747,8.591388702,15.54363155,128.4400024
27/05/2021,29.97235298,83.61473083,271.0415039,21.84519196,10.33411789,44.24604797,5.514541626,8.83986187,15.48653698,131.9400024
28/05/2021,30.84334373,84.95803833,271.5205994,22.15598106,10.191576,44.71874237,5.637452126,8.792079926,15.77914047,130.4400024
31/05/2021,30.64480591,84.24835968,272.5441589,22.04147911,10.42320347,45.40808105,5.547318459,8.792079926,15.56503868,132.6499939
1/06/2021,30.68323326,84.02870178,270.4592896,21.86154938,10.29848194,45.38838577,5.662032604,8.734740257,15.77914047,131.6199951
2/06/2021,31.63107681,84.76372528,269.4920044,21.98422813,10.18266869,45.44748306,6.030761719,8.486268044,16.50707817,129
3/06/2021,31.7591629,85.50718689,269.5390015,22.18051529,10.2093935,46.88525772,6.260192871,8.426953316,17.0209198,131.8999939
4/06/2021,31.22119904,86.61393738,273.6335754,22.49948502,9.719413757,47.91926575,6.325744152,8.417356491,17.1779232,129.4100037
7/06/2021,31.28524399,86.11548615,274.7605591,21.78793716,9.737232208,48.15561676,6.309356689,8.426953316,17.13510513,130.1499939
8/06/2021,30.98423958,85.73529816,277.2210388,21.89426231,9.844136238,49.85927963,6.342132568,8.455746651,17.04946518,132.0099945
9/06/2021,31.16996765,85.3973465,276.2067566,21.72250938,9.710505486,48.64800644,6.284775257,8.35976696,16.95668793,129.2799988
10/06/2021,30.93300629,86.04789734,277.2398071,21.77158356,9.808502197,49.12069702,6.227416992,8.494137764,16.70690536,133.1100006
11/06/2021,31.34928513,85.63391876,278.5827332,21.64072418,10.24502754,49.56384659,6.284775257,8.522931099,16.85677528,134.0800018
15/06/2021,31.52220154,87.39965057,283.3535156,21.81247711,10.04012871,50.57816696,6.292968273,8.436549187,16.93527794,137.9100037
16/06/2021,30.97783279,88.55709839,284.461731,21.96787262,9.772868156,52.40985489,6.358521938,8.455746651,17.32065582,137.1600037
17/06/2021,30.54234123,89.47797394,283.8230896,22.09055138,9.033443451,53.28630447,6.235610485,8.426953316,16.92100525,138.0399933
18/06/2021,29.79302979,87.60240936,286.9222107,21.97604942,8.819634438,54.96042252,6.014373779,8.599714279,16.55703545,142.25
21/06/2021,29.21023369,82.84590912,286.4338989,21.60800934,8.908720016,53.57189178,5.940628052,8.542127609,16.25016022,140.9600067
22/06/2021,29.89549637,84.67923737,282.226532,21.86154938,9.051260948,55.3051033,6.129089832,8.618911743,16.65695,138.9499969
